Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,NFLX,NVDA,TSLA,AAPL,AMZN,GOOG,MSFT,NFLX,NVDA,TSLA,AAPL,AMZN,GOOG,MSFT,NFLX,NVDA,TSLA,AAPL,AMZN,GOOG,MSFT,NFLX,NVDA,TSLA,AAPL,AMZN,GOOG,MSFT,NFLX,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-12,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,469033600,,,,,,
1980-12-15,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,175884800,,,,,,
1980-12-16,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,105728000,,,,,,
1980-12-17,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,86441600,,,,,,
1980-12-18,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,73449600,,,,,,
1980-12-19,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,48630400,,,,,,
1980-12-22,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,37363200,,,,,,
1980-12-23,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,46950400,,,,,,
1980-12-24,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,48003200,,,,,,
1980-12-26,0.12,,,,,,,0.12,,,,,,,0.12,,,,,,,0.12,,,,,,,55574400,,,,,,
1980-12-29,0.12,,,,,,,0.12,,,,,,,0.12,,,,,,,0.12,,,,,,,93161600,,,,,,
1980-12-30,0.12,,,,,,,0.12,,,,,,,0.12,,,,,,,0.12,,,,,,,68880000,,,,,,
1980-12-31,0.12,,,,,,,0.12,,,,,,,0.12,,,,,,,0.12,,,,,,,35750400,,,,,,
1981-01-02,0.12,,,,,,,0.12,,,,,,,0.12,,,,,,,0.12,,,,,,,21660800,,,,,,
1981-01-05,0.12,,,,,,,0.12,,,,,,,0.12,,,,,,,0.12,,,,,,,35728000,,,,,,
1981-01-06,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,45158400,,,,,,
1981-01-07,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,55686400,,,,,,
1981-01-08,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,39827200,,,,,,
1981-01-09,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,21504000,,,,,,
1981-01-12,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,23699200,,,,,,
1981-01-13,0.1,,,,,,,0.11,,,,,,,0.1,,,,,,,0.11,,,,,,,23049600,,,,,,
1981-01-14,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,14291200,,,,,,
1981-01-15,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,14067200,,,,,,
1981-01-16,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,13395200,,,,,,
1981-01-19,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,41574400,,,,,,
1981-01-20,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,30083200,,,,,,
1981-01-21,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,15904000,,,,,,
1981-01-22,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,35548800,,,,,,
1981-01-23,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,11222400,,,,,,
1981-01-26,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,24640000,,,,,,
1981-01-27,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,23699200,,,,,,
1981-01-28,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,0.11,,,,,,,28156800,,,,,,
1981-01-29,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,43904000,,,,,,
1981-01-30,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,46188800,,,,,,
1981-02-02,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,23766400,,,,,,
1981-02-03,0.09,,,,,,,0.1,,,,,,,0.09,,,,,,,0.09,,,,,,,19152000,,,,,,
1981-02-04,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,27865600,,,,,,
1981-02-05,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,7929600,,,,,,
1981-02-06,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,13865600,,,,,,
1981-02-09,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,16755200,,,,,,
1981-02-10,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,18345600,,,,,,
1981-02-11,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,13843200,,,,,,
1981-02-12,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,14560000,,,,,,
1981-02-13,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,11155200,,,,,,
1981-02-17,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,12275200,,,,,,
1981-02-18,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,19241600,,,,,,
1981-02-19,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,22310400,,,,,,
1981-02-20,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,24371200,,,,,,
1981-02-23,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,14112000,,,,,,
1981-02-24,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,16979200,,,,,,
1981-02-25,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,19488000,,,,,,
1981-02-26,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,10841600,,,,,,
1981-02-27,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,14761600,,,,,,
1981-03-02,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,11760000,,,,,,
1981-03-03,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,16172800,,,,,,
1981-03-04,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,13708800,,,,,,
1981-03-05,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,5376000,,,,,,
1981-03-06,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,11603200,,,,,,
1981-03-09,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,15321600,,,,,,
1981-03-10,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,28380800,,,,,,
1981-03-11,0.07,,,,,,,0.08,,,,,,,0.07,,,,,,,0.08,,,,,,,29859200,,,,,,
1981-03-12,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,59248000,,,,,,
1981-03-13,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,231302400,,,,,,
1981-03-16,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,37228800,,,,,,
1981-03-17,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,43747200,,,,,,
1981-03-18,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,36937600,,,,,,
1981-03-19,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,37811200,,,,,,
1981-03-20,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,14604800,,,,,,
1981-03-23,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,22019200,,,,,,
1981-03-24,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,28156800,,,,,,
1981-03-25,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,7056000,,,,,,
1981-03-26,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,12275200,,,,,,
1981-03-27,0.08,,,,,,,0.09,,,,,,,0.08,,,,,,,0.09,,,,,,,12252800,,,,,,
1981-03-30,0.08,,,,,,,0.09,,,,,,,0.08,,,,,,,0.08,,,,,,,9900800,,,,,,
1981-03-31,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,15993600,,,,,,
1981-04-01,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,0.08,,,,,,,34070400,,,,,,
1981-04-02,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,31404800,,,,,,
1981-04-03,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,16486400,,,,,,
1981-04-06,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,22803200,,,,,,
1981-04-07,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,10684800,,,,,,
1981-04-08,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,21952000,,,,,,
1981-04-09,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,0.09,,,,,,,12499200,,,,,,
1981-04-10,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,0.1,,,,,,,33465600,,,,,,
